"GENRES","HOMEPAGE","TAGLINE","RUNTIME","MOVIE_ID"
"Drama","","After your first, life is never the same.","106","1318"
"Action,Drama","https://coldpursuit.movie","Meet Nels Coxman. Citizen of the Year.","119","2694"
"Comedy","","","123","2867"
"Adventure,Fantasy","https://movies.disney.com/dumbo-2019","Soar to new heights.","112","2914"
"Drama,Comedy","https://www.fightingwithmyfamily.movie/home/","A comedy about a family that fights a little differently.","108","3976"
"Drama","https://www.netflix.com/title/81028570","The story behind America's most notorious serial killer","111","5893"
"Action,Drama,Comedy,Science","","","126","8594"
"Action,Adventure,Science","","We are ready to fight","181","8789"
"Action,Adventure,Fantasy","https://hellboy.movie","Demons Have Demons Too","121","8895"
"Action,Adventure,Science","https://www.marvel.com/movies/avengers-endgame","Part of the journey is the end.","181","9390"
